Name,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Calibration Factor,Calibration Image,Capture ID,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Group ID,Image Height,Image Width,Image X,Image Y,Intensity,Length,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD),Volume (ESD),Width
store,60.944496026741845,18.38928093508012,37.301625910154684,9.425271098692333,7.071994256456682,-1.4158676413422429,658.2963712509519,6.587193627030246,1.0867339744339393,1.5297093692250603,2,2,89,96,45,22,37,73,4,79,84,423.91811820279815,8.413943944438468,-2.166941403548529,179.82400087527188,-1.221094999519586,493.23952879319535,01-05-2023 06:38:35,-6.571664797776839,2.6293803563805183,-4.665575644082745,12.89945763497824,3.6777799636524673,30.454270441400357,4,11,6.06346225100523,1.6478817878939107,0,18.30084185540007,8.357066378005298,785.1273813641556,9,99,71,55,99,7.961773936026992,9.322897055665637,22,138.43480374847135,581.7182925210437,31.67378333057973,48.830079978782535,20.91588545247459,56,78,61,1.9508849382505034,33,29,28,63,35,81,-3.9405768238177075,26-04-2023 15:45:45,21-04-2023 14:56:16,231.3560357349929,67ee0bd2-788a-410e-82b6-49cf410a07e7,551.5600092857505,125.51063499712387,64.48313509809292
fall,71.31238666409317,29.58141520201978,70.59287248298747,9.425271098692333,6.971973865773501,-1.4158676413422429,3557.9573550037126,17.941012905256237,1.0371533266467432,1.309363628177689,29,33,3,55,76,2,43,30,79,93,13,2369.359282745376,16.12851357874304,1.5134564178129253,181.30395456623367,-0.7158672865364593,2623.557588468831,07-07-2023 12:17:14,-4.600157917915448,4.343550762547121,-4.665575644082745,17.632767396988292,14.831136236594467,61.66659104041045,43,28,9.704635545814241,1.6478817878939107,18,26.481390894277165,8.357066378005298,4329.492531940611,51,48,72,17,18,16.791204250347207,17.221883758470295,7,160.23164554377024,3279.1262167710765,50.863958638875644,139.0126504211752,33.66634672855564,14,77,53,1.9807655515705904,28,73,89,37,13,61,-3.0773615556432192,27-05-2023 11:08:29,13-02-2023 19:34:01,234.26746230722964,53a39479-a610-4d9a-aed0-8da6cd1d0367,2987.0384589220516,366.37182914010026,129.80358066893228
each,67.12297558647556,23.615653135750584,63.826417599928504,9.425271098692333,6.886956533692797,-1.427550168088991,463.2936036188512,11.889067606726728,0.8671625342334994,1.0720682147420584,64,4,75,23,20,9,23,23,32,50,10,847.2578124824901,11.006253140261368,2.1485054536556856,169.6506129157235,0.07278085080305541,349.97522310330777,10-11-2023 13:54:37,-4.259976338645247,10.11928164601146,-4.665575644082745,12.211658330062644,8.88604406938828,55.32267842462032,62,19,21.973215714517742,1.6421203176756505,26,17.112122708403398,8.357066378005298,1011.4494101706695,16,20,15,97,87,6.678765568028018,8.175091854465489,4,151.42407477857242,1168.69047487852,38.01617878882376,39.81127733244729,25.20039380275125,80,22,76,2.3542732180716803,64,89,27,6,72,81,0.25725085018151717,29-09-2023 20:09:45,31-03-2023 20:00:38,220.95085033334686,987c1682-4f00-467d-97d9-e33982492a56,387.7736077551945,101.42305837915909,116.52718241423081
condition,71.93074992278213,37.04621425607817,64.94454180768345,9.438287508195032,7.182016686208182,-1.3925025878487463,4772.417597574609,25.513650740597917,1.0867339744339393,1.4703855158661527,60,5,62,35,64,0,22,27,21,13,22,4005.3790611993677,19.50475132862922,8.845386195270253,188.12416073647006,-1.529160678167834,3515.795199004418,18-05-2023 06:08:10,-0.6726069572504025,3.0067536920664493,-4.665575644082745,18.764509889622136,22.270071596918676,56.37097954983084,73,22,6.865063834563931,1.659404728330431,57,28.437374217971687,8.365392931423159,3425.458682372331,27,97,30,68,24,18.902336201327337,19.110545044081444,26,161.5316559888179,5547.512840362026,59.34646965956627,167.92956150742853,39.246513961390185,2,17,20,2.070407391530852,87,56,84,50,1,6,-3.786853556882525,29-06-2023 13:25:19,07-04-2023 08:15:19,238.43206814316824,ad0ad6d7-42e8-4363-a77a-5fda50cd8e63,4007.0858938789133,443.603623498971,118.72104353307806
base,69.8901511691086,25.104561495243914,50.50270526622921,9.425271098692333,7.006981002512615,-1.4158676413422429,757.9959233033351,13.39948519396584,0.9663238298078917,1.2754642834011705,58,87,94,48,21,47,61,30,87,53,57,979.192440779946,11.629832671902616,9.134044847926052,173.69719958122036,-0.925351948017268,566.486628184754,03-01-2023 18:15:43,-0.5179789666730388,4.804074155248597,-4.665575644082745,13.33714810174271,10.369793727417665,42.8309869519504,88,7,10.682861207106214,1.6478817878939107,4,19.057299494397952,8.357066378005298,711.0819541022229,5,16,95,98,5,8.778233806571794,9.82375750709843,77,157.24162152016066,1351.6214821681788,39.51851156775978,55.13178418720189,26.23103155024048,98,49,0,2.2347507647913316,9,79,7,32,67,24,-2.817214488522141,14-03-2023 00:14:31,14-01-2023 15:05:04,224.482537349234,5e525ce0-b21e-4455-b777-5b9c9820ab0d,635.2994918744074,136.90596767422517,90.3848502431928
world,68.02475533873027,18.38928093508012,37.61902891106577,9.425271098692333,6.9819759048418195,-1.4158676413422429,327.487445017853,6.587193627030246,0.9875726788595471,1.3432629729542076,46,29,58,31,23,25,90,21,61,91,26,360.13344938644826,7.8883554820551325,24.562849832378582,179.71015828365944,-0.7774804222661089,250.20138267715814,03-05-2023 20:17:32,7.746887129687067,3.9981582180210147,-4.665575644082745,11.605144397546166,3.6777799636524673,30.75185269629883,44,14,8.970966299845262,1.6478817878939107,69,16.063888551506334,8.357066378005298,537.1473932344251,24,30,99,19,68,5.547385461701651,7.162936358861723,82,153.3199233442669,493.2790869327625,30.121845224037333,32.76755427351276,20.047205065305096,48,90,30,2.1600492314911137,56,61,78,35,29,95,-3.266559422640367,27-03-2023 06:53:35,28-04-2023 00:35:12,232.79909064471025,7bb56c8a-052f-435a-91f7-1d101f37777f,273.7075240116536,82.6105590362719,65.1059085769915
poor,69.22025763886225,20.62770778846805,44.87601570462368,9.425271098692333,6.9369667290343875,-1.4158676413422429,166.58399305188973,8.857957482675443,0.8884113832851549,1.1313920681009662,4,36,15,57,55,26,17,57,90,8,22,394.4597109189484,8.182328689828863,24.562849832378582,176.2224352497146,-0.444769489326001,131.9891049288745,23-08-2023 11:32:58,7.746887129687067,7.752703100184434,-4.665575644082745,10.629719928756776,5.908451218240867,37.55566516056842,34,72,16.946222732878436,1.6478817878939107,15,14.378068670311052,8.357066378005298,209.5944582579141,72,85,44,26,42,3.727846321630378,5.535139891705149,30,155.83327687135906,540.8733969305238,30.99348169483512,23.001276755702676,20.533077146264304,88,90,42,2.414034444711855,44,90,18,17,27,36,-1.1262585522351287,01-08-2023 18:15:49,06-03-2023 14:22:53,226.96357912383576,761a0776-a8cb-4333-bd3c-79d48d06ce21,138.56176320342848,56.52661339431366,79.34477493544532
paper,69.89530419626433,32.56936054930231,62.19612036797612,9.412254689189634,7.006981002512615,-1.4392326948357395,428.5785545531807,20.972123029307525,0.6334251946652893,1.080543050936188,41,35,35,59,48,26,62,98,92,81,31,2699.5318698387123,16.91244213280632,26.063874826188737,168.07751528616978,-0.9376745751631979,324.47082918225993,29-11-2023 05:48:45,8.55095268068936,9.959377690212337,-4.665575644082745,12.067845748125748,17.808729087741877,53.794187751732714,1,1,21.633554026569136,1.6363588474573905,11,16.863572341304092,8.348739824587438,3028.118989576567,98,7,27,58,97,6.410500181991868,7.935096221487276,71,157.25245494053604,3736.9196309477034,52.79856641552438,38.08171868823176,34.962005611113526,82,66,1,2.6680196579325957,98,45,95,26,65,16,0.1626519166829432,30-05-2023 07:17:05,08-05-2023 11:37:40,221.67237778820552,87b681d6-beea-4cbc-a641-34dec14ab1ec,358.6158012560068,96.80372275429833,113.32839136352447
decide,68.9523002267637,17.639762441185518,33.98332180972065,9.438287508195032,7.117003432264114,-1.4041851145954947,472.1355352361451,5.8268473586241605,1.0867339744339393,1.5551338778074495,25,91,2,1,42,84,78,52,61,63,10,323.98977768428387,7.5587491581876165,27.17521063891357,178.13706065410568,-1.381289152416675,356.47119856812236,07-02-2023 18:49:56,9.14627044441221,2.456684084117465,-4.665575644082745,12.242921934831536,2.9308583670934567,27.343183231098163,53,75,5.696627628020741,1.653643258112171,21,17.166155396903246,8.365392931423159,589.2723404540719,18,74,91,83,49,6.737084130209791,8.227264818156405,39,155.2699390118384,443.1648875224538,29.739175553930988,40.24230298826126,19.502439398775074,21,32,27,1.9807655515705904,63,47,75,76,90,35,-3.999701157254316,14-05-2023 13:35:54,04-10-2023 18:29:11,227.60915632028826,34e3c943-cc0a-4225-95a5-8ac70701afdb,395.2001083108585,102.57424927620642,57.97232145506234
account,63.25305219251392,49.73738551080704,173.66228332429512,9.425271098692333,6.86695245555616,-1.4158676413422429,21980.158823639445,38.388162555636086,0.9521579304401214,1.105967559518577,43,26,8,18,51,45,28,91,89,27,61,20220.482064058924,34.53301804118327,31.25973057399314,167.2392198388418,0.35620127515944366,16157.949611368826,30-04-2023 12:17:58,11.334256511081907,8.724919151443103,-4.665575644082745,27.580846434449317,34.9172710629787,158.29966508562308,84,12,19.011365795605933,1.6478817878939107,54,43.67459237492903,8.357066378005298,29677.48683584821,17,16,52,11,7,35.34817073658692,32.60247345455228,84,143.28817607664925,28030.201152721216,96.79140552700925,488.7272258731712,64.08488367588063,85,75,57,2.115228311510983,76,14,72,12,94,42,-0.558664951243685,24-08-2023 04:17:04,22-03-2023 15:04:41,217.7103059746834,8423d045-addd-4b0c-ba2f-8e439846ae3e,18460.183396594573,1211.9434010763632,332.0351139985429
